Player Name,Galaxy,Blaster,Rebel,ManaReaver,Demolitionist,Cybernetic,Infiltrator,StarGuardian,Paragon,Sniper,Set3_Celestial,MechPilot,Set3_Sorcerer,Astro,Chrono,Battlecast,Set3_Brawler,SpacePirate,DarkStar,Vanguard,Starship,Mercenary,Protector,Set3_Mystic,Set3_Blademaster,DamageToPlayer,Top4,Win,PredictedPlacement
canhkkpubg,Treasure Trove,Tier 1,Tier 0,Tier 0,Tier 0,None,None,None,None,None,None,None,None,Tier 0,Tier 0,None,None,Tier 2,Tier 0,Tier 2,None,Tier 1,None,None,None,50,False,False,8
canhkkpubg,Treasure Trove,None,None,None,None,None,None,Tier 1,None,None,Tier 1,None,Tier 1,None,None,None,None,None,Tier 0,None,None,None,Tier 2,Tier 0,None,123,True,False,8
canhkkpubg,SuperDense,None,None,None,None,None,None,Tier 2,None,None,Tier 1,None,Tier 1,None,None,None,None,None,Tier 0,Tier 0,None,None,Tier 2,Tier 0,None,92,True,False,8
canhkkpubg,Salvage World,None,None,None,None,None,None,Tier 1,None,None,Tier 1,None,Tier 1,None,None,None,None,None,Tier 1,None,None,None,Tier 2,Tier 0,None,68,False,False,2
canhkkpubg,Plunder Planet,None,Tier 1,None,Tier 1,None,Tier 2,None,None,None,None,Tier 1,Tier 0,None,None,Tier 0,None,None,Tier 0,None,Tier 1,None,None,None,None,56,False,False,1
canhkkpubg,Treasure Trove,None,None,None,None,None,None,Tier 1,None,None,Tier 1,None,Tier 1,None,None,None,None,None,Tier 0,None,None,None,Tier 2,Tier 0,None,49,False,False,8
canhkkpubg,Normal,Tier 2,None,None,None,Tier 0,None,Tier 0,Tier 1,None,None,None,None,Tier 0,Tier 1,Tier 1,Tier 2,Tier 0,None,None,None,None,None,None,None,124,True,False,8
canhkkpubg,Manatee's Delight,None,None,None,None,None,None,Tier 0,Tier 1,Tier 1,Tier 2,None,None,None,None,Tier 0,None,None,Tier 1,None,None,None,Tier 2,Tier 0,None,121,True,False,6
canhkkpubg,SuperDense,None,Tier 0,None,Tier 0,None,Tier 2,Tier 0,None,None,None,Tier 1,Tier 1,None,None,Tier 0,None,None,Tier 0,None,None,None,None,None,None,31,False,False,8
canhkkpubg,SuperDense,None,Tier 0,Tier 0,None,Tier 0,None,Tier 0,None,None,Tier 1,None,None,None,Tier 0,None,None,None,Tier 0,None,None,None,Tier 3,None,Tier 1,58,False,False,8
canhkkpubg,Manatee's Delight,None,Tier 0,None,None,None,None,Tier 0,None,None,Tier 1,None,None,None,None,Tier 1,None,None,Tier 0,None,Tier 1,None,Tier 3,Tier 1,None,63,False,False,5
